d_t,d_h,thres,nDT,timeHin,bias,LL,BIC,AIC,ID,context
-1.9933812192441267,-1.997236929017152,2.0676975659698407,0.99247320277046,-0.18529727036447188,-0.99263383632884,297.16300025941666,620.2309292000512,606.3260005188333,6835953,healthy
1.9404224191139965,-1.9984552058452565,1.5232197610661389,0.986598832688196,-0.14476297402317764,-0.996465748854338,299.19382909009227,624.4504907113067,610.3876581801845,6835953,typical
1.8544242833550024,-1.9952431595113884,2.156281848824439,0.9956392883947646,-0.04788827249399678,-0.9851433919827324,283.23168516933896,592.68005745348,578.4633703386779,6867400,healthy
1.9863593397194548,-1.9887930661688389,0.8942203549245749,0.9949436540285164,-0.03572001187749638,-0.9580839512759616,279.725791187656,585.5918353354496,571.451582375312,6867400,typical
-1.8089387930551104,-1.9942633886168712,2.968765650301642,0.9939236350777856,-0.07353971546507587,-0.977782975632941,247.0534588844981,519.5978892212923,506.1069177689962,6867421,healthy
-1.9060338449814125,-1.9985548421193704,1.015459714076416,0.9900357429345792,-0.10334339811721056,-0.982623363834467,240.16957092344344,505.6561880779435,492.3391418468869,6867421,typical
1.9956352218979796,-1.9985728715877324,1.496558352300695,0.975269215052326,-0.1665941819642589,-0.4259878029065736,243.72220457673387,512.8490481810513,499.44440915346775,6867427,healthy
1.9392601766938553,-1.996716170707365,2.743864672044611,0.9688248285622328,-0.14003950409432706,-0.285898235392947,234.57784843334215,494.3838525830301,481.1556968666843,6867427,typical
1.89759174030384,-1.998736481799508,0.8567992271895276,0.9837265157066472,-0.1791306287794229,-0.23459154582714975,293.49867895605615,613.7234416896333,598.9973579121123,6867432,healthy
1.979798523697172,-1.9979698769704428,1.6712610552854787,0.987295029141772,-0.05224828623130346,-0.796108620478492,287.1481585210139,600.9522245809696,586.2963170420278,6867432,typical
-1.986792936566032,-1.9962155056675557,1.6782839184190848,0.9943776971330331,-0.09668571669124616,-0.8654938952650235,284.83026985102674,596.2454404951134,581.6605397020535,6867584,healthy
1.537366587396651,-1.998220673494554,2.2120772601682552,0.984341522359054,-0.05099586687450255,-0.8191171770575154,277.02525823967164,580.4172114073779,566.0505164793433,6867584,typical
1.9296434049105968,-1.9821974905356152,1.172907982224732,0.9946769081750212,-0.03729661045736408,-0.9943185003272934,114.3753448866591,249.90885292101515,240.7506897733182,6867785,healthy
1.925699314760448,-1.9876781909711176,0.6541475835559638,0.98777552334804,-0.02723050473364108,-0.8919913742787415,115.30961328743815,251.7773897225733,242.6192265748763,6867785,typical
1.9979615711774623,-1.9797592066308416,2.5661649739964782,0.9933399787537978,-0.04799367304677282,-0.9994963142251072,61.21438862980902,139.77100780699504,134.42877725961804,6867792,healthy
1.9338361656393577,-1.9385609993079869,0.8743423240661614,0.9939324545579422,-0.06343348423076883,-0.9994857197831596,61.14359225235614,139.62941505208926,134.2871845047123,6867792,typical
1.911150673856605,-1.9995677743246036,2.146822188408827,0.988370119428538,-0.1595697241087778,-0.9450826240704308,205.8883996046967,436.2420238728277,423.7767992093934,6867816,healthy
1.8814584737773297,-1.9878205507278928,2.8191378632560373,0.994106539153778,-0.06348330507153654,-0.9997396881448456,182.8723989705892,389.6787022205641,377.7447979411784,6867816,typical
1.5945753855147653,-1.989323969952421,1.7078771732747555,0.9773554952225776,-0.0846703386002538,0.5931561564896013,305.52429604404915,637.8440408000258,623.0485920880983,6868120,healthy
1.9717354257174249,-1.992635056234468,2.8533329885334986,0.9745829059284106,-0.11221285508818551,0.08503877672814353,284.24593410559885,594.784028019241,580.4918682111977,6868120,typical
0.4668722371367779,-1.9999601195248191,0.9800141946270868,0.986380430221428,-0.09060811162995668,-0.9354528072144932,302.5620398045017,631.9195283209309,617.1240796090034,6868134,healthy
1.9974337188827864,-1.9933536200301043,1.2402867334509005,0.9835012011717268,-0.18387940681580603,-0.9245212884583968,287.09360924047905,600.5539134089927,586.1872184809581,6868134,typical
-1.955908766247469,-1.9993578339793785,1.4628869258133446,0.9947386464066836,-0.10435149523320358,-0.9995482269681712,261.1077499673427,548.0398904939104,534.2154999346855,6868169,healthy
-1.974595953445603,-1.8954013923932311,2.866488093137741,0.99452624866489,-0.07234369611962499,-0.9994807407248372,262.5920502396264,551.0890291604707,537.1841004792528,6868169,typical
1.9083658242598176,-1.9927606776516704,2.529709474641117,0.98934733611847,-0.09121469482246072,-0.8653667314062102,287.9654508283812,602.371217140348,587.9309016567624,6868209,healthy
1.912006438625859,-1.9983223823336176,2.828451956436038,0.983868911238795,-0.09818687083994704,-0.8838647530949749,293.8846621042987,614.4252317475392,599.7693242085974,6868209,typical
-1.9884800492182375,-1.9970838672753253,0.9697858477011324,0.982826778666333,-0.11966907917807816,0.6775663297000641,262.0024460997359,550.0677247305939,536.0048921994718,6868290,healthy
-1.8243519245490707,-1.9991288150023137,2.70351427754536,0.976486073307824,-0.16717910453901674,0.13988970262020275,292.1542894545546,610.964486448051,596.3085789091092,6868290,typical
1.9851378263296484,-1.9971296159827951,2.1973281711165655,0.9842922814272952,-0.12510431409032216,-0.6719885388522744,267.0261088841415,560.036617810001,546.052217768283,6868364,healthy
1.9900959742239817,-1.9988928674334383,2.204548275991574,0.9756029127797424,-0.12316340465690225,-0.7402658361653577,291.9696541005435,610.4523518478666,595.939308201087,6868364,typical
0.3808312199689172,-1.9999691613640929,2.4340856145308596,0.9943172024356036,0.00384049757365869,-0.998381695857012,285.3687999802123,596.397596674521,582.7375999604246,6868380,healthy
1.9604999037102075,-1.9890858071399875,2.639945944515059,0.974807105037102,-0.11474774641750056,-0.8125915734223206,311.8627378381234,649.9421627910489,635.7254756762468,6868380,typical
-1.8887233081301615,-1.9533320625105832,1.1516511037991628,0.9948224147624506,-0.07154429280104097,-0.9999413835522678,296.826413114853,613.6460532907572,605.652826229706,6868521,healthy
1.9482670039832763,-1.9946441012360816,2.564105567336082,0.9941256054814784,-0.06149582541352012,-0.9998573224111096,305.75984426489254,632.1236117566959,623.5196885297851,6868521,typical
-1.9998838838718855,-1.998263382697193,0.9264989987915406,0.9759778967510736,-0.05928965495744532,0.6312838303531728,300.70809151218987,628.2802039112489,613.4161830243797,6868522,healthy
-0.26062551729123135,-1.9997581346281836,1.439192912999672,0.983091332692128,-0.04660427516096503,-0.765201121588772,297.88269511759927,622.49147401271955,607.7653902351985,6868522,typical
