d_t,d_h,thres,nDT,timeHin,bias,LL,BIC,AIC,ID,context
1.675984394077853,1.9964863483865063,2.2539304064533203,0.9875999573764648,-0.1864967232551385,0.9933791580364126,297.207494909217,620.3199184996519,606.414989818434,6835953,healthy
-1.8892406968647848,1.9967518788257477,0.8052908683175949,0.9888226137106744,-0.1459712444241714,0.9925819591266212,299.17774810137917,624.4183287338805,610.3554962027583,6835953,typical
-1.9237443776884615,1.9980917371653784,2.316917335404889,0.9967676631938442,-0.04389148751892415,0.9666697949764492,283.22825617619014,592.6731994671824,578.4565123523803,6867400,healthy
-1.97245705622902,1.9938177033593072,2.961234195716679,0.9951678897892036,-0.02831294441486364,0.9508118412617648,279.7209794008845,585.5822117619066,571.441958801769,6867400,typical
1.9877528570079015,1.9964046763877903,2.1792840293874822,0.9943505534664976,-0.06771085521262252,0.980421241863808,247.05616296586732,519.6032973840308,506.11232593173463,6867421,healthy
1.905361859671213,1.999830680104106,1.118289630614718,0.9937317881973776,-0.10315428923749112,0.9827171959348976,240.14598099433405,505.60900821972473,492.2919619886681,6867421,typical
-1.9921025084126067,1.998845621884049,2.1430790092960743,0.9751873407231054,-0.16170498237029468,0.36701710290369105,243.6691635521282,512.7429661318399,499.3383271042564,6867427,healthy
-1.949102683386511,1.9892026166365984,1.1419214710308758,0.9661226609641398,-0.14213320879995384,0.2936217797853216,234.51147198287896,494.2510996821037,481.0229439657579,6867427,typical
-1.9314892035341156,1.996378289301328,2.288685814165711,0.9838311427356148,-0.16414831014451073,0.24337046753347272,293.4855111058986,613.6971059893182,598.9710222117972,6867432,healthy
-1.9983674955136963,1.9933240303736248,2.29530668932989,0.9873951216846192,-0.06074847009900141,0.7790448743529902,287.16573109038717,600.9873697197162,586.3314621807743,6867432,typical
1.969999152814232,1.996241734291308,0.8142813323065639,0.9943020706580452,-0.10118319877215327,0.8568689431063223,284.8350265211016,596.2549538352631,581.6700530422032,6867584,healthy
-1.5215199266679005,1.995945187689222,2.3813834193510814,0.9837425134211912,-0.05510185746019691,0.8213084923480226,277.0428434682081,580.4523818644509,566.0856869364162,6867584,typical
