"","d_t","d_h","thres","nDT","timeHin","bias","LL","BIC","AIC"
"407",1.89556332318338,1.96746402120265,2.28621990448646,0.978787302239143,-0.0676051685896182,0.793699023745466,607.921587538134,1242.77499329466,1227.84317507627
"408",-1.28867046017461,1.98731016196479,1.23788613319835,0.978672628315606,-0.077197276082818,0.883312987771354,450.059744190691,927.184645420482,912.119488381381
"409",1.95549480961834,1.99321052111143,1.89011585241842,0.990311184680127,0.0027818175546836,0.922997318357005,79.3480902962656,173.605620491259,170.696180592531
"410",1.74169689064406,1.99677056884059,1.40421772519559,0.980378364443409,-0.100528201542385,0.151581888303288,557.957064861099,1143.48484882301,1127.9141297222
"411",-0.659930478076356,1.99638116594228,0.97964652638127,0.990099205757916,-0.0595460432669726,0.857402845685903,592.710559204662,1214.71792994484,1197.42111840932
"412",1.94883551359935,1.99940126533899,1.46331808133053,0.976699549152676,-0.106695177180742,0.506770909728184,377.358544687433,781.372996913808,766.717089374866
"413",1.91816236236345,1.99318493330835,1.59383186795796,0.954380894977934,-0.12948145286147,-0.0676804343914656,410.1858618904,847.370581802781,832.371723780799
"414",-1.893911098118,1.99126412093035,2.6799612688568,0.982386127262541,-0.108782742729952,0.667146208828461,355.501618004477,737.143488969092,723.003236008954
"415",0.192382906331257,1.99821566016032,2.74338218551129,0.978569552626476,-0.0975661870983862,-0.357511284568006,261.084912913202,545.76077962275,534.169825826404
"416",-1.98411476547857,1.99110991568036,2.80292505325994,0.988334027147592,-0.153554302753948,0.921629804609275,537.74225256521,1101.70119224522,1087.48450513042
"417",-1.80195834730041,1.99593617342726,2.99925786550915,0.991528862283443,-0.178346849389211,0.897116989921669,223.349542347219,469.539059633059,458.699084694437
"418",0.382627392426448,1.99762207260804,2.58270229138434,0.984080303914086,0.00419554143158193,0.408391783776005,568.262630049059,1165.68413452429,1148.52526009812
"419",-0.431849269236017,1.99640683393587,2.82946011945605,0.991446713199609,-0.00961318674102254,-0.703738992048731,251.122716993562,526.910677172164,514.245433987124
"420",-1.97767560427583,1.99459280819503,1.57356051647397,0.984017274424469,-0.13386126119819,0.282644115365927,598.303964366317,1225.76680315881,1208.60792873263
"421",-1.99830209564336,1.99825984457142,0.744753655630421,0.98566727813144,-0.128192923491685,0.449308262672846,586.882666628995,1201.91342055136,1185.76533325799
"422",1.96262504302017,1.99944873862109,1.96897848008097,0.964171257822947,-0.146223595808009,-0.260583897737717,570.384416855423,1169.07982693862,1152.76883371085
"423",1.94680597946723,1.9998552362545,1.23263865661494,0.973199187743354,-0.127474341138235,-0.460248255802501,560.064997663546,1147.99634072194,1132.12999532709
"424",1.95721214877124,1.99934510874656,1.10050695799291,0.964804626412692,-0.150501499696096,0.214628573364671,562.451229628537,1153.10534145183,1136.90245925707
"425",0.628414642852549,1.99671129562419,2.3185031347272,0.984047336840322,-0.173359488266119,0.741532268620345,608.386935923315,1243.90460330893,1228.77387184663
"426",-1.99562928172126,1.99831258518135,1.70341167214774,0.982935420291812,-0.0826146965511489,0.731398008396186,596.471268916322,1221.09062512602,1204.94253783264
"427",1.86244109617209,1.99149621274299,2.08081757939665,0.987215768016405,-0.196494927154805,0.769707892757974,538.453206283408,1103.27310749485,1088.90641256682
"428",-1.91002300009346,1.98864317481673,1.62341051057418,0.991235788623486,-0.134988945432617,0.978157771071589,551.952206585995,1130.12110028679,1115.90441317199
"429",1.99570960915037,1.990591410409,2.14626698982784,0.963128036359815,-0.1418522476316,-0.100426857201699,644.713204857578,1317.1171328162,1301.42640971516
"430",1.20687647762832,1.290848774056,2.34351643099618,0.995814387977796,-0.0342667871577477,0.999432414504362,403.287507862672,828.07612935608,818.575015725343
"431",1.96485588440898,1.99787104334649,1.88407697038521,0.994653884331318,-0.112534908469707,0.998777381395252,553.613323612936,1134.29180426497,1119.22664722587
"432",-1.99814564852804,1.99779516870399,1.14318115113542,0.994573865247628,-0.0456423149182969,0.861795420539928,420.673118818864,867.251166318946,853.346237637728
"433",-1.94128828981485,1.99955210844504,2.527405949682,0.983410079466584,-0.162242067310576,0.372548773665107,486.722217587386,1000.57516663707,985.444435174772
"434",-1.71493350672261,1.99966174831733,1.59266278275746,0.986291404049167,-0.163276859767401,0.861764757844227,581.48367669528,1191.33168030283,1174.96735339056
"435",1.93417145451683,1.99886303572817,2.40598360363217,0.994553531735815,-0.0802115705242138,0.999246567892855,439.248606571173,906.067932243154,890.497213142347
"436",1.92880510256865,1.99424662689504,1.85859984369586,0.983164631467713,-0.121648243097958,0.239213522039738,535.564227858182,1099.59804848654,1083.12845571636
"437",-1.98577642877127,1.99532758209847,2.4572224025817,0.994211050280652,-0.0819243965458866,0.967093331781148,464.751185918779,955.326762396782,941.502371837557
